customer_id,company_name,contact_email,industry,company_size,acquisition_date,acquisition_channel,acquisition_cost,geography,seats_tendency,upgrade_tendency,budget_factor,has_trial,trial_start_date,trial_end_date,referred_by_customer_id
476f9374-fd37-4f7c-87ee-ac7611473dca,"Marshall, Smith and David",sandra99@example.org,Consulting,Enterprise (1000+),2023-01-12,Paid Search,180.11036776767992,North America,5.0,1.2,3.0,False,,,
6384c136-fba3-46e6-bdb0-968a0b295646,"Martinez, Bailey and Gonzalez",claytonsandoval@example.org,Media,Enterprise (1000+),2023-08-15,Trade Show,32.1166890867252,Other,5.0,1.2,3.0,False,,,
527140b7-a4e2-408d-bc50-5ecea75ed3ca,Wilson-Johnson,qfoster@example.com,Consulting,Large (201-1000),2024-03-29,Webinar,37.340022250016354,Asia-Pacific,3.0,1.5,2.0,True,2024-03-23,2024-04-17,
98de887d-b0dc-4299-83b8-5aa42546a2d9,"Kim, Baxter and George",stephenedwards@example.net,Healthcare,Medium (51-200),2023-02-25,Social Media,94.64849497776216,Other,2.0,1.3,1.5,False,,,
4286b37e-6cca-4f8a-9195-9cfeb47f7c7f,"Clay, Rosales and Horton",martindavid@example.org,Healthcare,Small (11-50),2022-11-22,Content Marketing,66.00530408571815,Asia-Pacific,1.5,1.0,1.0,False,,,
2ab664ba-f0a9-4307-81f2-fafa549a8095,"Franco, Allen and Christian",debrarodriguez@example.net,Legal,Small (11-50),2023-04-19,Paid Search,190.8328408534263,Europe,1.5,1.0,1.0,False,,,
83eaff8c-d0ed-43af-b341-ace6b1e28627,Perez-Watson,andrewwilliams@example.net,Finance,Large (201-1000),2023-09-23,Paid Search,71.77819503302112,North America,3.0,1.5,2.0,False,,,
19e9c6fa-bdaf-410b-9df6-77ae06b83160,"Robles, Brown and Hernandez",dgonzalez@example.com,Legal,Small (11-50),2024-02-21,Social Media,47.9499154931057,North America,1.5,1.0,1.0,False,,,
00337ae7-56d9-4f2b-bfc1-7fe1f56dbc66,Thompson-Fernandez,mallen@example.com,Non-profit,Medium (51-200),2024-01-18,Content Marketing,479.3921825535977,Latin America,2.0,1.3,1.5,True,2024-01-15,2024-02-10,
7b974303-cfb6-4e44-936c-3541540087e6,"Marquez, Soto and Gomez",jimenezdaniel@example.net,Marketing,Large (201-1000),2023-02-11,Social Media,123.88812735276731,Asia-Pacific,3.0,1.5,2.0,False,,,
dbe357aa-d374-4f2d-9360-bdbd445ea176,Stewart Ltd,portermelissa@example.com,Media,Startup (1-10),2024-05-26,Social Media,156.65133879178327,Latin America,1.2,0.8,0.7,True,2024-05-24,2024-06-04,
b499319d-c931-4a76-b497-f5a7e6873a90,Burch-Watson,bennettgregory@example.org,Real Estate,Enterprise (1000+),2022-11-20,Content Marketing,47.47491427593615,North America,5.0,1.2,3.0,False,,,9083da92-460e-4288-848d-00bfdf4fad13
257270d4-7922-4b20-bb69-ae452e819666,"Matthews, Franklin and Rios",courtney77@example.org,Finance,Enterprise (1000+),2023-11-15,Webinar,96.01398139357651,Other,5.0,1.2,3.0,True,2023-11-08,2023-11-21,
27eb7475-2279-467a-8206-2ef1896f459e,"Pruitt, Pena and Schneider",ginahansen@example.net,Education,Medium (51-200),2022-09-07,Cold Outreach,162.18506694749635,North America,2.0,1.3,1.5,True,2022-09-06,2022-10-05,
ac52fd14-5e52-4852-9d48-743cbf1a38d0,"Torres, Wilson and Sampson",phillip22@example.com,Legal,Startup (1-10),2022-11-18,Free Trial,59.098476046369875,North America,1.2,0.8,0.7,False,,,
08996ffd-1529-41d2-812e-5139a45f1d4e,Gross Inc,kristina59@example.org,Media,Enterprise (1000+),2023-06-09,Cold Outreach,200.44871223075543,Europe,5.0,1.2,3.0,True,2023-06-05,2023-07-01,
d4df635b-a161-400e-bbc2-940bc5334b4b,"Jensen, Gonzalez and Griffith",qfoley@example.org,Retail,Small (11-50),2022-08-03,Social Media,91.78868638746852,Asia-Pacific,1.5,1.0,1.0,False,,,
08296506-85ee-4492-8b44-e8c01f5e58c7,Nash Ltd,rebecca72@example.org,Education,Medium (51-200),2022-01-11,Free Trial,117.52428583273543,Other,2.0,1.3,1.5,False,,,
ff9895f6-c4cb-4973-bcb7-632482212b49,Mcgee-Thomas,sotovincent@example.com,Finance,Enterprise (1000+),2023-11-27,Partner,91.71030132705573,Other,5.0,1.2,3.0,False,,,
e4406b9b-5c0c-4fd7-a809-491fce3e5771,Jones-Shepherd,qgaines@example.net,Non-profit,Enterprise (1000+),2022-11-08,Social Media,653.1602778367146,Asia-Pacific,5.0,1.2,3.0,False,,,
605c270f-8a55-42a6-b4a5-2f069ae53760,"Harrison, Lee and Bryant",michael92@example.net,Real Estate,Small (11-50),2024-01-05,Trade Show,146.81924733316598,North America,1.5,1.0,1.0,False,,,
9b36d017-34c9-4e8f-9856-add790552b8b,Collins-Porter,grantamber@example.org,Manufacturing,Large (201-1000),2023-01-16,Direct,63.67749839938764,Other,3.0,1.5,2.0,True,2023-01-09,2023-02-02,38e1fbe1-1d62-4312-9d27-de1b5377cdd5
6cac8283-2136-4f7a-94b3-f82391f0ae18,Serrano-Gomez,eclark@example.net,Marketing,Small (11-50),2023-12-23,Partner,286.58521591640533,Other,1.5,1.0,1.0,True,2023-12-19,2024-01-18,2a5bb161-ef81-44b6-9d53-fcade46a818a
6b106b5a-d44a-4cc2-a3ce-9867da47650c,"Clark, Young and Gonzalez",smithkatherine@example.com,Retail,Medium (51-200),2023-07-23,Direct,55.88662472270969,Latin America,2.0,1.3,1.5,False,,,b883e794-eb7d-4f9b-a2f1-f509ff20325c
f8431cdf-d1d6-44c7-b03c-96078b68accf,Perez-Roberson,andreacaldwell@example.net,Education,Startup (1-10),2024-10-11,Paid Search,175.40382307159143,Latin America,1.2,0.8,0.7,False,,,31b9a44d-a13f-4a4a-a3ef-c185a2d44406
c9e55c13-5153-4e2f-b78f-1ed99f6b0840,Thompson-Berry,randerson@example.net,Legal,Startup (1-10),2023-05-04,Social Media,30.94662359382786,Latin America,1.2,0.8,0.7,False,,,
2dc1e287-63f9-4cc7-9018-c5b2b5f38759,"Simmons, Brown and Abbott",erobinson@example.org,Education,Startup (1-10),2024-09-26,Free Trial,51.28771043883719,Other,1.2,0.8,0.7,False,,,
1d59c5a7-ac76-4f54-a465-efa913d78e84,"Stevens, Ellis and Brown",shari53@example.com,Consulting,Large (201-1000),2022-04-17,Content Marketing,173.7276752978519,Other,3.0,1.5,2.0,True,2022-04-15,2022-05-10,
e5e51996-a69e-46ff-bf72-965ff4742880,"Campbell, Rios and Wright",sharongonzales@example.net,Finance,Large (201-1000),2022-09-15,Cold Outreach,267.94273009408676,North America,3.0,1.5,2.0,True,2022-09-13,2022-10-06,
6c7be63f-698d-4ea2-9716-0e35a3aa21f8,Graham Group,beverly85@example.com,Retail,Medium (51-200),2024-05-05,Cold Outreach,170.22049481377536,North America,2.0,1.3,1.5,False,,,ef71d4bd-75cd-4eb2-873e-3c520657fdc6
8fc53611-d22d-4932-8a79-97605989bc74,Black-Long,ashleyrobinson@example.com,Manufacturing,Enterprise (1000+),2024-12-05,Direct,135.29821931660143,Europe,5.0,1.2,3.0,False,,,
5a1d83e7-02a7-4974-b3fb-4d8e35a75214,Lozano-Burton,crystal53@example.org,Media,Small (11-50),2024-07-30,Trade Show,116.64288982308322,Latin America,1.5,1.0,1.0,False,,,2388aebb-a5b4-462d-8d63-452e8d420bc9
9ee9cb2c-b949-41f0-aa84-1e262ea2666d,"Wilson, Rodriguez and Long",vswanson@example.com,Real Estate,Small (11-50),2022-10-01,Partner,45.475895106961936,Latin America,1.5,1.0,1.0,False,,,
39c68634-dc17-47ff-82c7-45497ef2c924,"Newman, Lopez and Oneal",yatescatherine@example.com,Legal,Startup (1-10),2024-10-14,Webinar,83.43973487747398,Other,1.2,0.8,0.7,False,,,ec565720-e6f6-4f36-bb8e-40b395df55a1
c863e81d-4d4d-4ac8-9976-c575481baa61,Smith Ltd,alicia02@example.org,Media,Small (11-50),2022-10-29,Webinar,102.66681952992225,Europe,1.5,1.0,1.0,False,,,
727b6919-4d2a-4694-b539-43a39253f3c8,Beard LLC,kathleenaguilar@example.org,Manufacturing,Enterprise (1000+),2022-02-27,Partner,345.7437110134614,Asia-Pacific,5.0,1.2,3.0,False,,,
a8da123d-171c-4e9b-8364-97aef4c980ce,Marshall-Stewart,vcase@example.com,Marketing,Medium (51-200),2023-06-01,Social Media,195.369889625989,Other,2.0,1.3,1.5,False,,,
c49469e8-a25a-4409-b54d-56e5927e4fb4,Bonilla Inc,jose38@example.net,Non-profit,Small (11-50),2023-03-30,Cold Outreach,36.21842168466881,North America,1.5,1.0,1.0,True,2023-03-28,2023-04-21,
f1e8f1e8-7d18-4435-895a-ad9f3667aca5,Russell Inc,angelagaines@example.net,Non-profit,Small (11-50),2022-02-04,Paid Search,192.34048781938537,Latin America,1.5,1.0,1.0,False,,,
bdcb6f54-b530-4c09-b6ba-1e724df3308f,Long LLC,simmonsdominique@example.net,Education,Enterprise (1000+),2023-10-10,Organic Search,109.06392472221196,Asia-Pacific,5.0,1.2,3.0,False,,,
ca97a41d-e73a-4f83-bfd0-7522d9fcf7bf,"Lewis, Adams and Dunn",madisonmorrison@example.com,Non-profit,Startup (1-10),2023-03-11,Direct,86.3546280663057,Other,1.2,0.8,0.7,False,,,97565c23-2887-46e9-991f-e73752139fd3
2be8a38a-2867-4752-a1a2-bd334f40d35a,"Miller, Austin and Harvey",bclark@example.org,Media,Enterprise (1000+),2024-10-07,Webinar,242.0976194735575,Asia-Pacific,5.0,1.2,3.0,False,,,
ed338fe1-bc18-4ab5-bbef-9ed6b376a2b6,"Turner, Daniels and Stephenson",xgarza@example.net,Marketing,Small (11-50),2022-09-28,Webinar,338.59327828032906,Asia-Pacific,1.5,1.0,1.0,False,,,
ab2723da-a428-4be4-9f68-e94e64e38186,Murphy Ltd,kimberly11@example.org,Marketing,Enterprise (1000+),2024-02-03,Trade Show,312.63116067870567,North America,5.0,1.2,3.0,False,,,
bb0ecbb5-3285-4d58-9c33-63d250c0b9ea,Mcintyre-Williams,caleb70@example.com,Healthcare,Medium (51-200),2022-04-20,Content Marketing,75.8400093643539,Asia-Pacific,2.0,1.3,1.5,False,,,5f66a5ba-4fed-4ae4-9701-c6f703171486
0712d448-a79f-43ef-b9b4-2b0de99a8235,Farmer-Miller,andrea58@example.com,Marketing,Medium (51-200),2023-05-02,Webinar,115.88868279858524,Europe,2.0,1.3,1.5,True,2023-05-01,2023-05-19,
49ffb2f6-056f-498d-9a23-2b292a8cc910,"Everett, Black and Fritz",deniseroberts@example.org,Education,Medium (51-200),2024-11-29,Direct,193.44838740294213,Other,2.0,1.3,1.5,False,,,
1ce1361d-3c40-4a81-b2bc-e6ec7b12fb39,Fitzpatrick Ltd,maureenhoward@example.net,Marketing,Large (201-1000),2023-06-25,Free Trial,323.90041314138705,Asia-Pacific,3.0,1.5,2.0,False,,,
d2f7f8df-358c-4f38-a307-e5e98972c0dd,"Rivera, Lane and Willis",brett73@example.net,Non-profit,Large (201-1000),2023-03-17,Organic Search,101.15566922289533,Europe,3.0,1.5,2.0,False,,,
5f66a5ba-4fed-4ae4-9701-c6f703171486,"Valentine, Mays and Davis",cameronmonroe@example.org,Retail,Medium (51-200),2022-03-06,Partner,127.92866689191247,Asia-Pacific,2.0,1.3,1.5,False,,,
03490185-8308-4002-b50a-64e2623ebb9b,"Sawyer, Rodriguez and Charles",ijackson@example.org,Consulting,Medium (51-200),2024-12-26,Organic Search,61.24805052745808,Asia-Pacific,2.0,1.3,1.5,False,,,
738acf63-f10c-4e1a-9895-e6b0890498a3,Mathews and Sons,christopherlewis@example.com,Healthcare,Startup (1-10),2024-01-08,Cold Outreach,56.99905568317435,Asia-Pacific,1.2,0.8,0.7,False,,,
cdf9ddbb-1b97-42a2-8f94-cd60ad596da9,Bell-Moore,katherinebowen@example.net,Non-profit,Small (11-50),2022-10-28,Cold Outreach,284.29733875361995,North America,1.5,1.0,1.0,False,,,6cac8283-2136-4f7a-94b3-f82391f0ae18
b741d1c8-e626-4b1f-bf7d-c769304e4bcf,"Adams, Cherry and Terrell",sandra67@example.net,Consulting,Startup (1-10),2022-02-09,Webinar,439.2163089676553,Europe,1.2,0.8,0.7,False,,,
a97f1288-b8e6-4a1a-a1e2-88777596d0e3,White-Baker,robertmontgomery@example.com,Non-profit,Small (11-50),2023-11-13,Paid Search,140.10496654795736,North America,1.5,1.0,1.0,False,,,
3c9106e5-d106-4b8d-8a6c-4cb86e0d8c3f,"Fox, Anderson and Mueller",karenparker@example.org,Legal,Startup (1-10),2024-12-31,Cold Outreach,331.23441207739717,Other,1.2,0.8,0.7,False,,,
b883e794-eb7d-4f9b-a2f1-f509ff20325c,Howard-Perry,kristineweber@example.com,Finance,Small (11-50),2023-02-14,Organic Search,198.20638177452796,Asia-Pacific,1.5,1.0,1.0,True,2023-02-11,2023-03-06,1b2d7739-2442-4ea4-bed6-bf6598f7ca19
276870c6-200b-4844-b633-2db364b38459,Vaughn LLC,jasonwong@example.com,Real Estate,Enterprise (1000+),2023-10-13,Trade Show,88.57983150513098,Europe,5.0,1.2,3.0,False,,,
e9dfe234-68b2-4cb1-a8a9-56efc3c07834,Lee PLC,laurabowman@example.org,Education,Small (11-50),2024-10-22,Free Trial,198.16826329083554,Latin America,1.5,1.0,1.0,True,2024-10-15,2024-11-04,6a879a8c-52c3-49f9-a432-89ae90603818
ae4ed428-b6f6-4c62-b04e-c46bff288ca4,Tucker Inc,anthony33@example.com,Education,Large (201-1000),2022-01-19,Paid Search,507.97348593385,North America,3.0,1.5,2.0,True,2022-01-17,2022-02-14,
f9d27761-0daf-4900-8bf6-78cf02e2517f,"Luna, Franco and Rios",kurt15@example.net,Legal,Medium (51-200),2022-02-27,Direct,144.21989287680213,Latin America,2.0,1.3,1.5,False,,,
29670336-c847-4c82-8dd1-52d634b7fb83,Nguyen-Wang,vrivera@example.net,Real Estate,Large (201-1000),2024-04-10,Trade Show,518.9019397958263,North America,3.0,1.5,2.0,False,,,
a97819c3-bb47-4d4c-93f2-1c6df776484e,Lester Ltd,thompsonandrew@example.org,Manufacturing,Enterprise (1000+),2022-11-16,Referral,18.25070878353291,Asia-Pacific,5.0,1.2,3.0,False,,,f1a1f96d-4ed5-4b56-a593-5c9a4c35f487
12cd2c7e-db13-4d09-baad-3d1bd7f52ffc,Miller-Johnston,nicholsjulie@example.com,Consulting,Medium (51-200),2024-01-19,Trade Show,286.4379701104434,Europe,2.0,1.3,1.5,True,2024-01-17,2024-02-04,
e1b150bf-79ce-4c10-9694-d089fcbae47d,"Li, Hammond and Crawford",gillespieroger@example.org,Real Estate,Large (201-1000),2022-11-17,Paid Search,159.1166617045505,Other,3.0,1.5,2.0,False,,,39437991-73d0-490f-bbf4-a920c648fccf
bf1960bb-a703-4d97-be6f-bbb17ef7df91,Vargas-Perez,maureen60@example.org,Healthcare,Medium (51-200),2024-03-03,Content Marketing,116.83867295140762,Europe,2.0,1.3,1.5,False,,,aac03757-556e-4506-a8b0-4c36a55038f2
373779a2-cb1f-4607-991e-a21bd5e3fc98,Pearson-Castillo,kristina83@example.org,Finance,Medium (51-200),2024-02-22,Cold Outreach,159.7178180853152,Latin America,2.0,1.3,1.5,False,,,
1905d1f6-3783-454f-857f-735f0a143a66,Garza PLC,kaitlynjackson@example.org,Non-profit,Enterprise (1000+),2023-11-05,Organic Search,30.263575731611624,North America,5.0,1.2,3.0,False,,,
38ee3814-128e-479d-ac6d-134864372db8,Rogers Ltd,alyssa44@example.com,Education,Startup (1-10),2023-12-23,Webinar,124.49461845755354,Asia-Pacific,1.2,0.8,0.7,False,,,
0dc99b03-5f21-4aa2-b103-0c16e52963eb,Jackson and Sons,bvasquez@example.net,Technology,Enterprise (1000+),2022-09-24,Webinar,197.49041612401442,Asia-Pacific,5.0,1.2,3.0,False,,,
7ce348dd-58fa-439f-8c6d-a53ede5dc636,Lee-Marsh,wongchristian@example.com,Finance,Large (201-1000),2023-01-09,Cold Outreach,484.1114921125103,Latin America,3.0,1.5,2.0,False,,,63621d36-9e8f-4e48-b695-65ee51ba43c7
f03ade13-e4bc-4449-b502-14756be823e7,Smith LLC,amanda60@example.net,Retail,Large (201-1000),2022-10-25,Direct,98.0408104726935,Other,3.0,1.5,2.0,True,2022-10-22,2022-11-12,f13f6af1-cac0-4058-a3df-54a74111852a
2360a28e-6a50-4c6d-be1a-c6304154d483,"Delacruz, Webster and Matthews",serranoisabel@example.net,Non-profit,Large (201-1000),2022-09-23,Referral,77.72718890211215,Europe,3.0,1.5,2.0,False,,,
30d26ebc-9d08-4665-b160-15e6b5081576,Johnson-Garcia,andersonrichard@example.org,Technology,Small (11-50),2022-02-08,Paid Search,99.34457525407444,North America,1.5,1.0,1.0,False,,,
e4e7a5f4-b71d-44cd-b27a-88c724efaa27,"Frank, Valencia and Martinez",bwilliams@example.com,Consulting,Enterprise (1000+),2024-09-08,Content Marketing,308.68510949029184,Asia-Pacific,5.0,1.2,3.0,False,,,d022e547-9613-460a-b57c-070f191ad62e
05f71fd6-02c4-42a0-b3c5-52e06133377f,Sanchez-Rodgers,bblair@example.org,Finance,Startup (1-10),2023-11-24,Trade Show,193.05997418928484,Asia-Pacific,1.2,0.8,0.7,False,,,
81c54598-aa79-4e48-87e0-35424960cbeb,Miller-Montgomery,jamesvasquez@example.com,Non-profit,Large (201-1000),2023-06-26,Social Media,97.14374968304887,Other,3.0,1.5,2.0,False,,,0aa034fd-2780-4dee-9507-01466d24c4c6
16c82353-6b30-4e0a-a2a3-18fc833c1964,Kirk-Macias,jerry00@example.org,Legal,Startup (1-10),2022-11-25,Social Media,223.7689276643953,Europe,1.2,0.8,0.7,True,2022-11-22,2022-12-07,
2081feea-fe48-4507-a364-2e4b585cb0c8,Stein Group,rfowler@example.com,Consulting,Medium (51-200),2022-05-30,Partner,160.3986115909903,Asia-Pacific,2.0,1.3,1.5,False,,,
904b9792-d9c0-448a-a2d6-37c21af60b8b,Lawson-Stewart,ofuller@example.com,Technology,Startup (1-10),2024-03-28,Partner,322.11737328283726,Other,1.2,0.8,0.7,False,,,
39c2ee62-0f7b-49e8-bf5d-9c8926da718b,"Hall, Griffith and Willis",charlessmith@example.net,Legal,Startup (1-10),2023-06-15,Referral,84.63581523000228,Other,1.2,0.8,0.7,False,,,
9759b5ce-5b37-4c3f-9d49-eefba95a43a0,"Ibarra, Harris and Smith",ian75@example.org,Retail,Medium (51-200),2023-10-17,Trade Show,114.19074851884292,North America,2.0,1.3,1.5,True,2023-10-13,2023-10-26,
788521ed-f993-4d89-8913-cee21e847582,Irwin-Lynch,johnblake@example.org,Marketing,Large (201-1000),2023-05-29,Direct,108.45262888387201,North America,3.0,1.5,2.0,True,2023-05-24,2023-06-20,
9a16518f-21f2-43f6-8877-984bbfc23a9c,"Thompson, Jackson and Santiago",latashaswanson@example.org,Technology,Enterprise (1000+),2023-11-13,Partner,46.025152544369696,Latin America,5.0,1.2,3.0,False,,,
ba1eee9c-438a-46a6-8d7a-57187ead71a8,David PLC,trevor26@example.org,Finance,Medium (51-200),2023-04-16,Content Marketing,188.08542005842054,Asia-Pacific,2.0,1.3,1.5,False,,,633eb62e-f389-41e9-901d-fa164d391689
90460b49-6745-41da-920d-b1fc691ac5c8,Smith Group,andersonpatricia@example.org,Media,Enterprise (1000+),2022-10-29,Partner,182.88256357447025,North America,5.0,1.2,3.0,False,,,0051b3ab-8f17-4e2a-97e5-6cb49850a70c
c18f5106-bb8b-49b6-98eb-35ca506387a5,"Hernandez, Barber and Ellison",kempsavannah@example.org,Real Estate,Medium (51-200),2022-01-11,Content Marketing,149.02152600068666,North America,2.0,1.3,1.5,False,,,
1f2e1d44-8848-4542-bd74-48faae60db69,"Simmons, Alvarez and Haynes",ifernandez@example.com,Healthcare,Startup (1-10),2023-03-08,Trade Show,123.01795167496144,Other,1.2,0.8,0.7,True,2023-03-04,2023-03-29,
983ff372-a063-4b76-b561-de9ee4308862,Richmond-Gonzales,camerondana@example.com,Marketing,Enterprise (1000+),2022-08-09,Direct,47.832408237390005,Asia-Pacific,5.0,1.2,3.0,False,,,
16d5aceb-b6b6-471f-8b60-c10cba9bc341,Hamilton-Fields,christophershort@example.com,Legal,Large (201-1000),2022-03-18,Partner,106.00473275927096,Europe,3.0,1.5,2.0,False,,,
71b29d55-d0a2-4752-86ba-0b52c658513f,Rodriguez-Payne,thomasamber@example.com,Education,Small (11-50),2022-10-30,Organic Search,112.82392151837179,Other,1.5,1.0,1.0,False,,,
374ded11-2245-4d17-9e1a-994f12dda52a,"Hall, Allen and Perez",imartin@example.org,Education,Medium (51-200),2022-10-20,Cold Outreach,78.11469416153541,Other,2.0,1.3,1.5,False,,,
ba80efbe-7ad9-4e9d-959f-dadae95d2ede,Frey-Harrison,taylorcarmen@example.org,Finance,Enterprise (1000+),2022-06-01,Webinar,130.44757614208598,Latin America,5.0,1.2,3.0,False,,,
430e2e27-d689-4e30-aac1-571055a1091c,Mercer-Stone,brewerelizabeth@example.net,Manufacturing,Small (11-50),2024-10-07,Cold Outreach,205.047300250234,Europe,1.5,1.0,1.0,True,2024-10-04,2024-10-26,
53c905eb-2201-48fa-bdd6-a62b4abd056d,Malone and Sons,kimberly33@example.com,Technology,Enterprise (1000+),2022-01-15,Referral,671.1205116824754,Europe,5.0,1.2,3.0,True,2022-01-12,2022-01-22,
185b5e20-afe1-4489-a9ea-2b2b6597b58e,Harrison-Reid,qgray@example.com,Retail,Startup (1-10),2022-09-30,Social Media,170.65811885198693,Other,1.2,0.8,0.7,False,,,
f7408be5-615c-4f0c-9301-989d669a6230,Meyer-Smith,duncanchad@example.com,Technology,Small (11-50),2023-03-29,Paid Search,182.37049643907457,Europe,1.5,1.0,1.0,True,2023-03-25,2023-04-22,26dc7f94-c226-4980-a53c-e4ecd5ef0cc0
2d066e74-c173-446d-8150-8971fbeb76f0,Barrett Inc,mark29@example.com,Media,Medium (51-200),2024-12-03,Paid Search,139.83221888679114,Other,2.0,1.3,1.5,True,2024-11-29,2024-12-23,
8e9bf630-9e72-431d-9429-74e0e1346bd0,"Cardenas, Brown and Pierce",yjackson@example.com,Technology,Enterprise (1000+),2022-01-27,Referral,31.97591706561093,Latin America,5.0,1.2,3.0,False,,,
4f4bd9d4-6f39-4f5d-a80b-5d1a086c5b9d,"Mills, Galvan and Mccoy",jjohnson@example.org,Finance,Enterprise (1000+),2022-12-17,Trade Show,145.29830422295146,North America,5.0,1.2,3.0,False,,,
0ff7599d-be8a-4407-92f4-e7bd25618e4b,James-Williams,rmooney@example.org,Finance,Large (201-1000),2023-07-03,Organic Search,155.739410961906,North America,3.0,1.5,2.0,False,,,
23a49a97-18b0-4d05-967f-610028c9dd04,"Kim, Thompson and Price",calderonmatthew@example.net,Manufacturing,Enterprise (1000+),2022-09-15,Paid Search,1064.85475651958,Asia-Pacific,5.0,1.2,3.0,False,,,a97f1288-b8e6-4a1a-a1e2-88777596d0e3
44a3e251-6e99-47b0-9a3b-63ca03c6bfdf,Martinez-Villanueva,patriciasmith@example.org,Healthcare,Enterprise (1000+),2023-02-04,Free Trial,127.24460124626181,Europe,5.0,1.2,3.0,False,,,
bd2f9b69-1686-455f-9faa-8b92b88928a9,Frazier and Sons,wbolton@example.net,Education,Large (201-1000),2024-07-30,Free Trial,188.90379680715213,Latin America,3.0,1.5,2.0,False,,,d0c4067f-14be-4d4a-b8c5-ff127a117bf3
e3324e64-9a13-4576-bbd0-51860b8bb708,Davidson and Sons,david93@example.com,Healthcare,Large (201-1000),2022-05-09,Referral,144.34851004530196,North America,3.0,1.5,2.0,False,,,
2242d245-57c8-4820-8373-b2725f9dc69e,Freeman Ltd,xjames@example.org,Retail,Startup (1-10),2022-04-25,Trade Show,58.268262924319345,Europe,1.2,0.8,0.7,False,,,
d5ba4ea0-b0bd-4b6c-9be0-c7bd32878ecb,"Lynch, Rodriguez and Smith",pamelareeves@example.net,Retail,Medium (51-200),2022-01-12,Referral,370.27954656020563,Other,2.0,1.3,1.5,True,2022-01-06,2022-02-03,39c2ee62-0f7b-49e8-bf5d-9c8926da718b
9ffd7121-198c-4842-9f0c-49cf703c3b4c,Singh Ltd,kimberly99@example.net,Real Estate,Large (201-1000),2023-07-27,Free Trial,270.8449254142656,Asia-Pacific,3.0,1.5,2.0,False,,,
ef256353-0d2a-430b-b40a-a538d9f393dd,"Miller, Mitchell and Bridges",jeremyryan@example.net,Education,Enterprise (1000+),2024-05-08,Cold Outreach,279.45060694334836,North America,5.0,1.2,3.0,True,2024-05-05,2024-05-20,
69499130-41cf-4d21-b85d-470fc0125de6,Logan-Chapman,tammy03@example.com,Legal,Startup (1-10),2023-10-17,Paid Search,71.69994898967222,Asia-Pacific,1.2,0.8,0.7,False,,,
